"tahun","bulan","pelaku_kekerasan","jumlah_korban_kekerasan"
2021,1,"Orang Tua",2
2021,1,"Keluarga",1
2021,1,"Suami",23
2021,1,"Lainnya",40
2021,1,"Pacar",4
2021,1,"Tetangga",1
2021,2,"Orang Tua",15
2021,2,"Keluarga",2
2021,2,"Suami",15
2021,2,"Lainnya",42
2021,2,"Pacar",2
2021,2,"Tetangga",3
2021,3,"Orang Tua",8
2021,3,"Keluarga",9
2021,3,"Suami",17
2021,3,"Lainnya",34
2021,3,"Pacar",10
2021,3,"Tetangga",4
2021,4,"Orang Tua",12
2021,4,"Keluarga",7
2021,4,"Suami",29
2021,4,"Lainnya",35
2021,4,"Pacar",13
2021,4,"Tetangga",6
2021,5,"Orang Tua",11
2021,5,"Keluarga",4
2021,5,"Suami",22
2021,5,"Lainnya",37
2021,5,"Pacar",6
2021,5,"Tetangga",4
2021,6,"Orang Tua",15
2021,6,"Keluarga",9
2021,6,"Suami",22
2021,6,"Lainnya",41
2021,6,"Pacar",6
2021,6,"Tetangga",18
2021,7,"Orang Tua",10
2021,7,"Keluarga",5
2021,7,"Suami",16
2021,7,"Lainnya",18
2021,7,"Pacar",7
2021,7,"Tetangga",5
2021,8,"Orang Tua",21
2021,8,"Keluarga",11
2021,8,"Suami",23
2021,8,"Lainnya",43
2021,8,"Pacar",14
2021,8,"Tetangga",18
2021,9,"Orang Tua",7
2021,9,"Keluarga",6
2021,9,"Suami",21
2021,9,"Lainnya",19
2021,9,"Pacar",13
2021,9,"Tetangga",8
2021,10,"Orang Tua",19
2021,10,"Keluarga",5
2021,10,"Suami",17
2021,10,"Lainnya",14
2021,10,"Pacar",19
2021,10,"Tetangga",7
